,type,id,lat,lon
78,node,5204765222,5.3211088,-4.0021225
79,node,5204765240,5.3188999,-4.0041518
80,node,5204765241,5.3190495,-4.0037173
81,node,5204765242,5.3192791,-4.0031487
82,node,5204765243,5.3197331,-4.0025157
83,node,5204765244,5.3201444,-4.0022904
84,node,5204765245,5.3207436,-4.0021402
85,node,5390861364,5.3195302,-4.0002895
86,node,5390861365,5.3199361,-3.9979291
87,node,7079782668,5.3199869,-3.9986345
88,node,7079782669,5.3197839,-3.9996135
89,node,7079782670,5.319402,-4.0008688
90,node,7079782671,5.3185954,-4.0029824
91,node,7079782672,5.3183284,-4.004125
92,node,7982541184,5.3197469,-3.9990292
93,node,7046900026,5.3203207,-3.9948178
94,node,7079782665,5.3205183,-3.9917976
95,node,7079782666,5.3204756,-3.9927632
96,node,7079782667,5.3203741,-3.995499
97,node,5390861366,5.320278,-3.9903975
98,node,7046900025,5.3193806,-3.9861489
99,node,7079782662,5.3195676,-3.9852637
100,node,7079782663,5.3200269,-3.9875168
101,node,7079782664,5.3203527,-3.9901775
102,node,5390861367,5.3190174,-3.9806128
103,node,7079782657,5.3192417,-3.9786762
104,node,7079782658,5.3188358,-3.9797276
105,node,7079782659,5.3187824,-3.9805538
106,node,7079782660,5.3189533,-3.9824849
107,node,7079782661,5.3193593,-3.9841425
108,node,7079782652,5.3212447,-3.9731455
109,node,7079782653,5.3210418,-3.9742452
110,node,7079782654,5.3207266,-3.9752376
111,node,7079782655,5.3205717,-3.9762783
112,node,7079782656,5.3202085,-3.9772922
113,node,5390861368,5.3208335,-3.9699698
114,node,7046900024,5.3214317,-3.9661718
115,node,7079782648,5.320278,-3.9650452
116,node,7079782649,5.3208174,-3.9669281
117,node,7079782650,5.3211165,-3.9688218
118,node,7079782651,5.3213249,-3.9709085
119,node,5143778943,5.3237658,-3.9604077
120,node,5390861369,5.3225213,-3.962363
121,node,5390861370,5.3234053,-3.9609468
122,node,7046900018,5.3188465,-3.9587689
123,node,7046900019,5.3201712,-3.9597988
124,node,7046900020,5.3212287,-3.9605928
125,node,7046900021,5.3216293,-3.9606383
126,node,7046900022,5.3225293,-3.9607483
127,node,7046900023,5.3234934,-3.9603835
128,node,7079782646,5.3190655,-3.9594555
129,node,7079782647,5.3194821,-3.9612204
130,node,3468275452,5.3155426,-3.9522633
131,node,7046900014,5.3158601,-3.9521172
132,node,7046900017,5.3168382,-3.9539409
133,node,7079782642,5.3180453,-3.952412
134,node,7079782643,5.3178423,-3.9538389
135,node,7079782644,5.3179064,-3.9551586
136,node,3501611131,5.3211708,-3.9544825
137,node,7079782645,5.318494,-3.9574385
138,node,7079782639,5.3187397,-3.9455134
